Country,Happiness ,Crime ,Days of Sunshine(2015),Birth per Woman,Innovation 
Switzerland,7.48,21.6,97,1.52,67.2
Iceland,7.494,23.36,48,1.67,51.5
Denmark,7.6,25.1,0,1.74,58.4
Norway,7.554,35.43,49,1.53,51.9
Canada,7.278,39.67,0,1.48,53.9
Finland,7.769,23.32,69,1.36,59.8
Netherlands,7.488,27.62,61,1.57,61.4
Sweden,7.343,47.07,99,1.74,63.7
New Zealand,7.307,40.93,0,1.67,49.6
Australia,7.228,41.36,114,1.72,50.3
Israel,7.139,29.6,139,3.09,57.4
Costa Rica,7.167,56.33,0,1.74,36.1
Austria,7.246,23.73,0,1.47,50.9
Mexico,6.595,53.97,105,2.11,36.1
United States,6.892,47.2,113,1.7,0
Brazil,6.3,68.88,94,1.72,33.8
Luxembourg,7.09,33.39,67,1.36,53.5
Ireland,7.021,45.43,0,1.72,56.1
Belgium,6.923,43.98,62,1.6,50.2
United Arab Emirates,6.825,15.7,75,1.38,42.2
United Kingdom,7.054,43.71,59,1.66,61.3
Venezuela,4.707,84.49,92,2.25,0
Singapore,6.262,30.57,84,1.12,58.4
Panama,6.321,47.19,0,2.44,31.5
Germany,6.985,34.81,67,1.59,58.2
Chile,6.444,45.23,0,1.62,36.6
Qatar,6.374,13.26,143,1.85,33.9
France,6.592,46.79,87,1.86,54.2
Argentina,6.086,61.77,55,2.25,31.9
Czech Republic,6.852,25.52,66,1.75,49.4
Uruguay,6.293,53.81,91,1.97,34.3
Colombia,6.125,54.79,82,1.79,33
Thailand,6.008,40.48,98,1.52,38.6
Saudi Arabia,6.375,26.18,0,2.27,32.9
Spain,6.354,31.96,0,1.25,47.9
Malta,6.726,39.04,0,1.2,49
Taiwan,6.446,15.65,0,0,0
Kuwait,6.021,34.75,64,2.08,34.6
Trinidad and Tobago,6.192,73.19,0,1.71,0
El Salvador,6.253,67.96,0,2.02,24.9
Guatemala,6.436,57.83,0,2.83,25.1
Uzbekistan,6.174,0,81,2.41,0
Slovakia,6.198,29.22,0,1.58,42
Japan,5.886,20.66,76,1.42,54.7
South Korea,5.895,28.02,0,0.94,56.6
Ecuador,6.028,50.9,0,2.41,26.6
Bahrain,6.199,29.29,139,1.97,31.1
Italy,6.223,44.26,94,1.28,46.3
Bolivia,5.779,52.93,0,2.69,0
Moldova,5.529,44.98,88,1.26,35.5
Paraguay,5.743,49.6,0,2.41,27.1
Kazakhstan,5.809,62.02,0,2.86,31
Slovenia,6.118,21.07,0,1.6,45.3
Lithuania,6.149,33.06,72,1.63,41.5
Nicaragua,6.105,0,101,2.39,0
Peru,5.697,68.15,0,2.23,32.9
Belarus,5.323,24.99,74,1.4,32.1
Poland,6.182,28.5,62,1.49,41.3
Malaysia,5.339,58.84,0,1.99,42.7
Croatia,5.432,24.71,91,1.47,37.8
Libya,5.525,62.19,0,2.21,0
Russia,5.648,41.12,0,1.54,37.6
Jamaica,5.89,66.04,0,1.97,30.8
North Cyprus,5.887953813,0,0,0,0
Cyprus,6.046,30.01,138,1.32,48.3
Algeria,5.211,49.81,0,3.02,24
Kosovo,5.680398498,0,0,1.98,0
Turkmenistan,5.247,0,0,2.75,0
Mauritius,5.888,47.33,0,1.41,30.6
Hong Kong,5.43,20.7,81,1.04,55.5
Estonia,5.893,23.14,75,1.7,50
Indonesia,5.192,45.84,0,2.29,29.7
Vietnam,5.175,45.35,0,2.06,38.8
Turkey,5.373,39.49,0,2.06,36.9
Kyrgyzstan,5.261,0,0,0,28.4
Nigeria,5.265,63.77,99,5.34,23.9
Bhutan,5.082,0,0,1.96,0
Azerbaijan,5.208,31.61,0,1.69,30.2
Pakistan,5.653,44.08,127,3.47,25.4
Jordan,4.906,40.83,71,2.68,29.6
Montenegro,5.523,41.18,0,1.75,37.7
China,5.191,31.83,100,1.7,54.8
Zambia,4.107,0,94,4.56,20.4
Romania,6.07,27.64,84,1.8,36.8
Serbia,5.603,37.41,0,1.5,35.7
Portugal,5.693,29.63,102,1.46,44.6
Latvia,5.94,36.95,71,1.59,43.2
Philippines,5.631,42.16,0,2.52,36.2
Morocco,5.208,48.69,0,2.39,31.6
Macedonia,5.230480087,0,91,1.49,35.3
Mozambique,4.466,0,0,4.8,22.9
Albania,4.719,39.52,0,1.6,30.3
Bosnia and Herzegovina,5.386,43.03,73,1.26,31.4
Lesotho,3.802,0,0,3.12,0
Dominican Republic,5.425,61.16,119,2.33,28.6
Laos,4.796,0,0,0,0
Mongolia,5.285,57.97,0,2.9,36.3
Greece,5.287,40.32,0,1.36,38.9
Lebanon,5.197,43.36,0,2.09,28.5
Hungary,5.758,35.08,0,1.57,44.5
Honduras,5.86,76.11,0,2.43,25.5
Tajikistan,5.467,0,0,3.58,26.4
Tunisia,4.461,41.88,66,2.19,32.8
Palestinian Territories,0,0,0,0,0
Bangladesh,4.456,63.94,0,2.01,23.3
Iran,4.548,49.25,117,0,0
Ukraine,4.332,48.85,0,1.27,37.4
Iraq,4.437,47.78,0,3.6,0
South Africa,4.722,77.49,97,2.38,34
Ghana,4.996,48.97,0,3.83,0
Zimbabwe,3.663,57.47,94,3.55,0
Liberia,3.975,0,0,4.26,0
India,4.015,43.32,100,2.2,36.6
Sudan,4.042187306,0,0,4.36,0
Haiti,3.597,0,0,2.89,0
Congo (Kinshasa),4.179598798,0,0,0,0
Nepal,4.913,34.56,0,1.87,24.9
Ethiopia,4.286,49.21,0,4.17,0
Sierra Leone,4.374,0,83,4.19,0
Mauritania,4.49,0,0,4.52,0
Kenya,4.509,61.66,122,3.42,31.1
Armenia,4.559,21.6,0,1.76,34
Botswana,3.488,0,0,2.85,27.4
Myanmar,4.308250036,0,0,2.14,0
Georgia,4.519,20.21,0,2.07,37
Malawi,3.41,0,116,4.12,23
Sri Lanka,4.366,40.22,109,2.2,28.5
Cameroon,5.044,0,0,4.52,23.9
Bulgaria,5.011,38.5,88,1.57,40.3
Egypt,4.166,46.92,0,3.3,27.5
Yemen,3.38,0,0,3.71,14.5
Angola,3.737727792,64.97,0,5.45,0
Mali,4.39,0,0,5.81,24
Congo (Brazzaville),4.713798145,0,0,0,0
Uganda,4.189,59,0,4.84,25.6
Senegal,4.681,0,125,4.57,26.8
Gabon,4.799,0,61,3.95,0
Niger,4.628,0,71,6.85,18.1
Cambodia,4.7,50.66,0,2.48,26.6
Tanzania,3.231,58.95,0,4.84,0
Madagascar,3.933,0,0,4.03,22.4
Central African Republic,3.083,0,0,4.67,0
Chad,4.35,0,68,5.67,0
Guinea,4.534,0,102,4.64,19.5
Ivory Coast,4.944,0,0,0,0
Burkina Faso,4.587,0,0,5.13,23.3
Afghanistan,3.203,76.23,124,4.35,0
Rwanda,3.334,0,0,4.01,27.4
Benin,4.883,0,53,4.78,0
Syria,3.462,66.46,98,2.77,0
Burundi,3.775,0,0,5.34,0
Togo,4.085,0,0,4.27,18.5